,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
0,2.0,01/01/2021 12:15:56 AM,01/01/2021 12:19:52 AM,N,1.0,43,151,1.0,1.01,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
1,2.0,01/01/2021 12:25:59 AM,01/01/2021 12:34:44 AM,N,1.0,166,239,1.0,2.53,10.0,0.5,0.5,2.81,0.0,,0.3,16.86,1.0,1.0,2.75
2,2.0,01/01/2021 12:45:57 AM,01/01/2021 12:51:55 AM,N,1.0,41,42,1.0,1.12,6.0,0.5,0.5,1.0,0.0,,0.3,8.3,1.0,1.0,0.0
3,2.0,12/31/2020 11:57:51 PM,01/01/2021 12:04:56 AM,N,1.0,168,75,1.0,1.99,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
4,2.0,01/01/2021 12:16:36 AM,01/01/2021 12:16:40 AM,N,2.0,265,265,3.0,0.0,-52.0,0.0,-0.5,0.0,0.0,,-0.3,-52.8,3.0,1.0,0.0
5,2.0,01/01/2021 12:16:36 AM,01/01/2021 12:16:40 AM,N,2.0,265,265,3.0,0.0,52.0,0.0,0.5,0.0,0.0,,0.3,52.8,2.0,1.0,0.0
6,2.0,01/01/2021 12:19:14 AM,01/01/2021 12:19:21 AM,N,5.0,265,265,1.0,0.0,180.0,0.0,0.0,36.06,0.0,,0.3,216.36,1.0,2.0,0.0
7,2.0,01/01/2021 12:26:31 AM,01/01/2021 12:28:50 AM,N,1.0,75,75,6.0,0.45,3.5,0.5,0.5,0.96,0.0,,0.3,5.76,1.0,1.0,0.0
8,2.0,01/01/2021 12:57:46 AM,01/01/2021 12:57:57 AM,N,1.0,225,225,1.0,0.0,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2.0,1.0,0.0
9,2.0,01/01/2021 12:58:32 AM,01/01/2021 01:32:34 AM,N,1.0,225,265,1.0,12.19,38.0,0.5,0.5,2.75,0.0,,0.3,42.05,1.0,1.0,0.0
10,2.0,01/01/2021 12:31:14 AM,01/01/2021 12:55:07 AM,N,1.0,244,244,2.0,3.39,18.0,0.5,0.5,0.0,0.0,,0.3,19.3,2.0,1.0,0.0
11,2.0,01/01/2021 12:08:50 AM,01/01/2021 12:21:56 AM,N,1.0,75,213,1.0,6.69,19.5,0.5,0.5,0.0,0.0,,0.3,20.8,2.0,1.0,0.0
12,2.0,01/01/2021 12:35:13 AM,01/01/2021 12:44:44 AM,N,1.0,74,238,1.0,2.34,10.0,0.5,0.5,0.0,0.0,,0.3,14.05,1.0,1.0,2.75
13,2.0,01/01/2021 12:39:57 AM,01/01/2021 12:55:25 AM,N,1.0,74,60,1.0,5.48,18.0,0.5,0.5,0.0,0.0,,0.3,19.3,2.0,1.0,0.0
14,1.0,01/01/2021 12:51:27 AM,01/01/2021 12:57:20 AM,N,1.0,42,41,2.0,0.9,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,1.0,1.0,0.0
15,2.0,01/01/2021 12:29:05 AM,01/01/2021 12:29:07 AM,N,5.0,42,264,1.0,0.0,10.0,0.0,0.0,2.06,0.0,,0.3,12.36,1.0,2.0,0.0
16,2.0,01/01/2021 12:32:07 AM,01/01/2021 12:42:54 AM,N,1.0,74,116,1.0,2.08,9.5,0.5,0.5,2.16,0.0,,0.3,12.96,1.0,1.0,0.0
17,2.0,01/01/2021 12:49:59 AM,01/01/2021 01:05:01 AM,N,1.0,116,143,1.0,4.64,16.5,0.5,0.5,5.14,0.0,,0.3,25.69,1.0,1.0,2.75
18,2.0,01/01/2021 12:07:20 AM,01/01/2021 12:12:01 AM,N,1.0,75,42,1.0,1.68,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
19,2.0,01/01/2021 12:25:54 AM,01/01/2021 12:28:20 AM,N,1.0,74,75,1.0,0.68,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
20,2.0,01/01/2021 12:15:51 AM,01/01/2021 12:30:34 AM,N,1.0,7,82,5.0,2.7,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,1.0,1.0,0.0
21,2.0,01/01/2021 12:21:09 AM,01/01/2021 01:06:01 AM,N,1.0,152,117,1.0,29.07,77.5,0.5,0.5,0.0,6.12,,0.3,84.92,2.0,1.0,0.0
22,2.0,01/01/2021 12:42:25 AM,01/01/2021 12:43:06 AM,N,1.0,82,82,1.0,0.0,2.5,0.5,0.5,8.0,0.0,,0.3,11.8,1.0,1.0,0.0
23,2.0,01/01/2021 12:51:52 AM,01/01/2021 01:06:13 AM,N,1.0,116,74,1.0,2.78,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2.0,1.0,0.0
24,2.0,01/01/2021 12:23:19 AM,01/01/2021 12:34:03 AM,N,1.0,116,69,3.0,2.25,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,2.0,1.0,0.0
25,1.0,01/01/2021 12:56:41 AM,01/01/2021 01:13:31 AM,N,1.0,259,116,1.0,0.0,28.2,0.0,0.5,0.0,0.0,,0.3,29.0,1.0,1.0,0.0
26,2.0,01/01/2021 12:50:23 AM,01/01/2021 12:55:11 AM,N,1.0,247,167,1.0,1.03,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,1.0,1.0,0.0
27,2.0,01/01/2021 12:15:41 AM,01/01/2021 12:18:57 AM,N,1.0,166,41,1.0,0.65,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,1.0,1.0,0.0
28,2.0,01/01/2021 12:30:34 AM,01/01/2021 12:43:14 AM,N,1.0,74,119,1.0,2.51,11.5,0.5,0.5,2.56,0.0,,0.3,15.36,1.0,1.0,0.0
29,2.0,01/01/2021 12:39:40 AM,01/01/2021 01:05:04 AM,N,1.0,17,107,1.0,7.57,25.5,0.5,0.5,7.39,0.0,,0.3,36.94,1.0,1.0,2.75
30,2.0,01/01/2021 12:35:29 AM,01/01/2021 12:55:15 AM,N,5.0,74,247,1.0,3.64,13.0,0.0,0.0,0.0,0.0,,0.3,13.3,2.0,2.0,0.0
31,2.0,01/01/2021 12:28:19 AM,01/01/2021 12:32:16 AM,N,1.0,74,74,1.0,0.63,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2.0,1.0,0.0
32,1.0,01/01/2021 01:45:34 AM,01/01/2021 01:59:16 AM,N,1.0,173,56,1.0,1.5,10.5,0.5,0.5,2.75,2.0,,0.3,16.55,1.0,1.0,0.0
33,2.0,01/01/2021 01:27:19 AM,01/01/2021 01:36:40 AM,N,1.0,152,239,1.0,2.83,10.5,0.5,0.5,0.0,0.0,,0.3,14.55,2.0,1.0,2.75
34,2.0,01/01/2021 01:06:08 AM,01/01/2021 01:25:52 AM,N,1.0,41,233,1.0,5.03,17.5,0.5,0.5,0.0,0.0,,0.3,21.55,1.0,1.0,2.75
35,2.0,01/01/2021 01:30:03 AM,01/01/2021 01:42:03 AM,N,1.0,42,119,1.0,3.13,11.5,0.5,0.5,1.1,0.0,,0.3,13.9,1.0,1.0,0.0
36,2.0,01/01/2021 01:06:34 AM,01/01/2021 01:15:26 AM,N,1.0,7,260,6.0,2.24,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
37,2.0,01/01/2021 01:22:08 AM,01/01/2021 01:31:45 AM,N,1.0,47,42,1.0,2.11,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
38,1.0,01/01/2021 01:27:22 AM,01/01/2021 01:36:01 AM,N,1.0,75,24,1.0,1.6,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
39,2.0,01/01/2021 01:46:44 AM,01/01/2021 01:51:56 AM,N,1.0,41,166,1.0,0.77,5.5,0.5,0.5,2.04,0.0,,0.3,8.84,1.0,1.0,0.0
40,2.0,01/01/2021 01:45:45 AM,01/01/2021 01:54:47 AM,N,1.0,179,7,1.0,1.46,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
41,2.0,01/01/2021 01:40:49 AM,01/01/2021 01:54:21 AM,N,1.0,7,159,5.0,5.19,17.0,0.5,0.5,0.0,6.12,,0.3,24.42,1.0,1.0,0.0
42,2.0,01/01/2021 01:03:41 AM,01/01/2021 01:30:43 AM,N,1.0,95,145,1.0,10.05,31.5,0.5,0.5,0.0,0.0,,0.3,32.8,1.0,1.0,0.0
43,2.0,01/01/2021 11:12:41 PM,01/02/2021 01:13:53 AM,N,5.0,95,82,1.0,0.0,9.7,0.0,0.0,2.0,0.0,,0.3,12.0,1.0,2.0,0.0
44,2.0,01/01/2021 01:20:10 AM,01/01/2021 01:23:04 AM,N,1.0,236,238,1.0,0.77,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
45,2.0,01/01/2021 01:49:29 AM,01/01/2021 01:49:33 AM,N,5.0,244,244,5.0,0.02,12.0,0.0,0.0,2.46,0.0,,0.3,14.76,1.0,2.0,0.0
46,1.0,01/01/2021 01:30:50 AM,01/01/2021 01:49:33 AM,N,1.0,65,225,2.0,4.1,16.0,0.5,0.5,3.45,0.0,,0.3,20.75,1.0,1.0,0.0
47,2.0,01/01/2021 01:07:45 AM,01/01/2021 01:13:57 AM,N,1.0,166,151,1.0,1.07,6.5,0.5,0.5,1.56,0.0,,0.3,9.36,1.0,1.0,0.0
48,1.0,01/01/2021 01:39:30 AM,01/01/2021 02:01:50 AM,N,1.0,247,13,1.0,0.0,36.2,0.0,0.5,0.0,0.0,,0.3,37.0,1.0,1.0,0.0
49,1.0,01/01/2021 01:01:59 AM,01/01/2021 01:10:50 AM,N,1.0,14,14,0.0,0.0,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
